id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48441425,🎨ART DISTRICT YOUR PRIVATE SPACE IN DNVR METRO!🎨,65080044,Hayden,,Lincoln Park,39.73014,-104.99854,Entire home/apt,91,1,249,2024-12-22,7.38,1,133,85,2022-BFN-0002010
48445627,Contemporary Private Guest House,23267539,Erin,,Platt Park,39.68413,-104.97745,Entire home/apt,110,2,93,2024-12-03,2.02,1,164,24,2021-BFN-0001319
48483208,Luxurious Flat W/ Private Balcony & Mtn Views!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,209,1,57,2024-12-08,1.26,17,357,7,2021-BFN-0000780
48483252,Sleek & Modern Flat w/Views & Private Balcony!,390107054,The Berkeley,,Berkeley,39.77356,-105.043526,Entire home/apt,211,1,111,2024-11-22,2.41,17,351,23,2021-BFN-0000780
48484023,Luxurious Flat w/ Private Balcony & Mtn Views!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,202,1,87,2024-10-18,1.91,17,348,12,2021-BFN-0000780
48484116,Private quaint and cozy room,35513038,Keysha,,Hale,39.73503,-104.9372,Private room,80,2,81,2024-10-20,1.76,1,365,11,2021-BFN-0001384
48485288,Family Friendly Sleek & Modern Flat w/Balcony!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,150,1,70,2024-12-08,1.53,17,360,11,2021-BFN-0000780
48485537,Elegant & Bright Flat W/ Balcony And Roof Top Pati,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,160,1,54,2024-07-06,1.19,17,346,4,2021-BFN-0000780
48487133,"Luxurious Flat - Walk to Restaurants, Shops & More",390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,155,1,69,2024-12-09,1.51,17,360,8,2021-BFN-0000780
48487513,Modern & Luxurious Flat in Prime Denver Location!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,165,1,64,2024-07-06,1.40,17,356,4,2021-BFN-0000780
48487722,Modern & Lux Flat - Amazing Walkability in Denver!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,155,1,96,2024-12-19,2.09,17,348,20,2021-BFN-0000780
48489565,Stylish Flat! Walk to Restaurants/Shops & Cafes!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,157,1,84,2024-12-11,1.87,17,357,15,2021-BFN-0000780
